"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"1",24.086378,24.363234,23.809525,23.809525,137600,23.809525
"2",24.363234,24.363234,23.532669,23.671097,895700,23.671097
"3",23.643412,24.086378,23.615725,24.086378,2400300,24.086378
"4",23.809525,25.24917,23.588039,24.169436,1138300,24.169436
"5",24.224806,25.415283,24.086378,24.916943,751600,24.916943
"6",27.685493,27.685493,24.972315,25.24917,1280200,25.24917
"7",25.609081,25.609081,24.972315,25.143965,188300,25.143965
"8",25.442968,25.442968,25.188261,25.332226,113200,25.332226
"9",25.359911,26.024363,25.359911,25.636766,704500,25.636766
"10",25.609081,25.885935,24.667774,25,2435300,25
"11",24.778517,24.972315,24.363234,24.739756,4578700,24.739756
"12",26.328903,26.328903,24.086378,24.086378,4585900,24.086378
"13",24.3134,24.3134,23.643412,23.79845,4119100,23.79845
"14",23.94795,25.609081,23.266888,25.166113,28543400,25.166113
"15",24.955704,27.342194,24.928019,26.578074,74965600,26.578074
"16",26.827242,28.178295,26.805094,27.857143,20861200,27.857143
"17",27.591362,27.779623,26.650055,27.176079,13491100,27.176079
"18",26.611296,27.519381,26.417498,27.353268,7090300,27.353268
"19",26.650055,27.486156,26.583611,26.854929,9146300,26.854929
"20",26.79402,26.921373,26.578074,26.771872,8722000,26.771872
"21",26.644518,27.148394,26.589148,27.070875,8721800,27.070875
"22",26.92691,27.126245,26.644518,26.838316,9015000,26.838316
"23",26.710964,27.070875,26.666666,26.998892,8243400,26.998892
"24",26.960133,27.09856,26.672203,26.982281,6082600,26.982281
"25",26.788483,27.131783,26.727575,26.810631,7544500,26.810631
"26",26.84939,26.993355,26.528238,26.594685,8643800,26.594685
"27",26.50609,26.838316,26.478405,26.583611,3775600,26.583611
"28",26.423035,26.611296,26.400887,26.517164,5133500,26.517164
"29",26.456257,26.566999,26.384275,26.461794,4982900,26.461794
"30",26.511627,26.638981,26.317829,26.500553,4061600,26.500553
"31",26.362125,26.539314,26.306755,26.339977,2996500,26.339977
"32",26.456257,26.633444,26.33444,26.467331,3125100,26.467331
"33",26.373201,26.605759,26.351051,26.539314,2709500,26.539314
"34",26.483942,26.578074,26.367662,26.500553,3037500,26.500553
"35",26.434109,27.054264,26.301218,26.838316,3355900,26.838316
"36",26.838316,26.893688,26.561462,26.79402,2604700,26.79402
"37",26.79402,26.838316,26.544851,26.616833,1781600,26.616833
"38",26.616833,26.799557,26.218163,26.312292,2747200,26.312292
"39",26.112957,26.428572,26.002214,26.101883,3166400,26.101883
"40",26.002214,26.273533,25.891474,26.085272,2965800,26.085272
"41",25.968992,26.273533,25.825027,26.096346,2424300,26.096346
"42",26.151716,26.362125,26.018826,26.157253,2763900,26.157253
"43",26.168327,26.389812,26.040974,26.240311,2439500,26.240311
