"","t","DELL","SNP","MS","FTSV","NUE","TWTR","NKE"
"2019-03-20",0,59.630001,85.089996,43.029999,18.209999,58.150002,32.57,86.690002
"2019-03-21",1,60.709999,84.620003,43.130001,17.75,58.82,32.610001,88.010002
"2019-03-22",2,59.549999,81.949997,41.720001,16.360001,57,33.02,82.190002
"2019-03-25",3,57.290001,80.089996,41.25,16.190001,56.880001,32.59,82.330002
"2019-03-26",4,58.889999,80.68,41.880001,15.9,56.939999,33.060001,83.379997
"2019-03-27",5,57.540001,79.690002,41.369999,15.19,57.580002,32.279999,83.089996
"2019-03-28",6,56.919998,80.269997,41.93,15.46,57.619999,32.869999,84.040001
"2019-03-29",7,58.689999,79.5,42.200001,16.16,58.349998,32.880001,84.209999
"2019-04-01",8,60.43,80.940002,43.529999,15.99,59.709999,33.439999,85.230003
"2019-04-02",9,61.27,80.599998,43.700001,16.15,59.490002,33.75,84.370003
"2019-04-03",10,61.59,79.970001,44.380001,16.77,60.580002,34.380001,84.470001
"2019-04-04",11,60.34,80.220001,44.93,16.23,60.700001,34.419998,85.279999
"2019-04-05",12,62.200001,80.93,44.900002,17.43,60.689999,34.720001,85.400002
"2019-04-08",13,62.490002,81.050003,44.98,17.91,60.48,34.860001,84.730003
"2019-04-09",14,61.73,79.839996,44.259998,17.709999,58.84,35.139999,84.279999
"2019-04-10",15,63.290001,80.139999,44.450001,17.459999,58.23,34.75,84.879997
"2019-04-11",16,63.860001,79.709999,44.799999,17.4,57.669998,34.580002,85
"2019-04-12",17,63.509998,79.769997,46.689999,18.6,58.540001,34.369999,86.239998
"2019-04-15",18,63.880001,78.25,46.080002,18.84,57.900002,34.709999,86.830002
"2019-04-16",19,62.790001,78.610001,47.02,18.74,58.220001,34.459999,87.800003
"2019-04-17",20,62.75,78.480003,48.259998,18.799999,58,34.48,88.730003
"2019-04-18",21,62.849998,78.260002,47.549999,17.879999,57.5,34.400002,89.199997
"2019-04-22",22,63.25,78.389999,47.290001,18,56.98,34.389999,87.360001
"2019-04-23",23,65,77.949997,47.349998,18.629999,58.619999,39.77,87.43
"2019-04-24",24,66.25,76.139999,47.380001,17.940001,58.32,39.290001,88.389999
"2019-04-25",25,67,76.529999,47.290001,18.73,57.400002,38.48,87.559998
"2019-04-26",26,65.360001,76.18,47.889999,18.780001,56.389999,38.669998,88.309998
"2019-04-29",27,65.550003,76.260002,48.459999,19.23,56.880001,39.779999,88.260002
"2019-04-30",28,67.410004,76.739998,48.25,18.99,57.07,39.91,87.830002
"2019-05-01",29,68.580002,76,47.57,18.25,55.849998,39.290001,85.900002
"2019-05-02",30,68.139999,75.43,47.810001,18,55.900002,39.950001,85.269997
"2019-05-03",31,68.699997,76.510002,48.060001,18.35,57.650002,40.799999,85.699997
"2019-05-06",32,68.190002,75.620003,47.709999,18.809999,56.68,40.23,83.57
"2019-05-07",33,67.489998,73.889999,46.709999,18,56.18,38.619999,82.540001
"2019-05-08",34,67.099998,73.550003,46.529999,18.16,56.419998,38.580002,82.769997
"2019-05-09",35,67.089996,73.400002,46.450001,18.65,56.560001,38.790001,82.980003
"2019-05-10",36,67.160004,72.900002,46.34,18.700001,56.799999,38.450001,83.949997
"2019-05-13",37,64.040001,71.989998,44.18,17.780001,54.689999,36.59,82.529999
"2019-05-14",38,66.150002,72.18,44.009998,16.040001,55.18,36.93,83.669998
"2019-05-15",39,67.900002,72.089996,43.900002,15.83,54.869999,37.900002,84.010002
"2019-05-16",40,69.800003,72.839996,44.279999,12.8,54.98,38.299999,84.279999
"2019-05-17",41,69.43,71.980003,43.880001,12.04,53.290001,37.5,84.57
"2019-05-20",42,68,72.57,43.869999,12.29,52.619999,37.150002,82.849998
"2019-05-21",43,69.650002,73.080002,44.389999,12.54,53.68,37.470001,83.639999
"2019-05-22",44,69,71.989998,43.490002,12.46,52.880001,38.580002,83.199997
"2019-05-23",45,65.699997,70.440002,42.709999,12.16,51.389999,37.189999,82.639999
"2019-05-24",46,66.120003,71.290001,42.959999,12.15,51.16,37.41,82.160004
"2019-05-28",47,66.410004,70.82,42.169998,12.49,51.009998,37.290001,81.199997
"2019-05-29",48,66.199997,70.970001,42.189999,12.49,50.759998,36.849998,78.870003
"2019-05-30",49,66.410004,70.879997,41.830002,12.57,49.279999,37.139999,79.260002
"2019-05-31",50,59.549999,66.110001,40.689999,11.31,48,36.439999,77.139999
"2019-06-03",51,55.860001,66.699997,40.73,11.3,49.779999,34.43,77.959999
"2019-06-04",52,57.68,66.769997,42.48,11.42,50.150002,36.099998,81.620003
"2019-06-05",53,54.5,65.400002,42.43,10.97,50.59,36.330002,82.720001
"2019-06-06",54,53.23,65.519997,42.810001,10.95,50.419998,36.59,82.449997
"2019-06-07",55,54.299999,66.18,42.700001,11.28,50.84,37.93,83.410004
"2019-06-10",56,54.200001,65.900002,43.290001,10.99,50.939999,37.639999,82.580002
"2019-06-11",57,54.34,66.25,43.669998,10.93,51.740002,37.209999,83.260002
"2019-06-12",58,53.029999,64.599998,42.619999,10.81,51.130001,37.490002,82.629997
"2019-06-13",59,53.830002,65.010002,42.950001,10.58,52.139999,36.34,83.610001
"2019-06-14",60,51.32,64.400002,42.82,10.54,51.700001,36.150002,83.440002
"2019-06-17",61,50.630001,64.599998,42.509998,11.09,50.75,36.439999,82.110001
"2019-06-18",62,51.509998,66.150002,43.34,10.49,52.619999,36.650002,84.300003
"2019-06-19",63,53.419998,66.529999,43.139999,10.73,54.25,36.290001,83.550003
"2019-06-20",64,54.41,67.800003,43.459999,10.72,53.810001,35.439999,85.239998
"2019-06-21",65,53.990002,68.290001,43.580002,10.6,53.939999,35.02,85.75
"2019-06-24",66,53.299999,67.760002,43.07,10.63,53.740002,35.580002,84.5
"2019-06-25",67,52.310001,67.400002,42.66,10.8,54.290001,34.720001,82.620003
"2019-06-26",68,53.23,68.510002,42.990002,10.84,55.119999,35.220001,82.550003
"2019-06-27",69,52.209999,68.169998,43.490002,10.41,54.57,34.75,83.660004
"2019-06-28",70,50.799999,68.199997,43.810001,10.6,55.099998,34.900002,83.949997
"2019-07-01",71,51.560001,68.43,43.950001,10.6,55.669998,36.080002,85.410004
"2019-07-02",72,52.18,67.839996,43.830002,10.24,55.139999,36.220001,84.959999
"2019-07-03",73,52.919998,67.559998,43.990002,10.59,55.290001,36.02,86.199997
"2019-07-05",74,52.369999,67.25,44.209999,10.53,55.310001,36.25,86.82
"2019-07-08",75,51.290001,66.690002,43.490002,10.18,54.549999,36.450001,88.480003
"2019-07-09",76,51.099998,66.330002,43.779999,10.24,54.52,37.650002,88.040001
"2019-07-10",77,52.290001,66.260002,43.310001,10.26,54.169998,37.470001,87.440002
"2019-07-11",78,53.48,66.5,44.18,10.3,54.099998,37.209999,88.290001
"2019-07-12",79,53.779999,66.360001,44.869999,10.28,55.169998,37.84,89.120003
"2019-07-15",80,55.220001,66.459999,44.43,10.12,55.23,38.68,89.480003
"2019-07-16",81,56.009998,65.519997,44.43,10.12,55.560001,37.990002,88.599998
"2019-07-17",82,56.5,64.980003,43.77,8.76,54.700001,37.700001,87.5
"2019-07-18",83,57.389999,65.639999,44.43,8.75,54.689999,37.66,87.440002
